Team,TeamName,Founded,Coach,Ground,MarketValue,Formation,Apps,Scored,Conceded,W,D,L
RSO,Real Sociedad,07/09/1909,Xabi Alonso,Anoeta Stadium,310.25,4231,16,17,16,5,6,5
BET,Real Betis Balompie,12/09/1907,Joan Francesc Ferrer Sicilia,Benito Villamarin Stadium,291.7,3421,13,13,12,3,7,3
LEG,CD Leganes,23/06/1928,Mauricio Pellegrino,Estadio Municipal de Butarque,69.5,532,11,15,9,5,4,2
GET,Getafe CF,08/07/1983,Jose Bordalas,Coliseum Alfonso Perez,128.2,442,36,46,33,14,14,8
ALA,Deportivo Alaves,23/01/1921,Asier Garitano,Mendizorrotza Stadium,90.25,442,27,31,36,9,8,10
EIB,SD Eibar,30/11/1940,Jose Luis Mendilibar,Ipurua Municipal Stadium,74.2,442,27,39,38,8,12,7
BAR,Barcelona,29/11/1899,Ernesto Valverde,Camp Nou,1230,433,32,75,34,22,7,3
ESP,RCD Espanyol Barcelona,13/10/1990,David Gallego,RCDE Stadium,170.25,433,19,29,25,9,4,6
SEV,Sevilla FC,25/01/1890,Julen Lopetegui,Ramon Sanchez0Pizjuan Stadium,291.5,352,9,24,11,5,3,1
RMA,Real Madrid,06/03/1902,Zinedine Zidane,Santiago Bernabeu Stadium,1140,433,33,54,43,17,5,11
ATM,Atletico Madrid,26/04/1903,Diego Simeone,Wanda Metropolitano Stadium,911.8,442,35,51,28,20,9,6
VAL,Valencia CF,18/03/1919,Marcelino Garcia Toral,Mestalla Stadium,472.9,442,37,50,33,15,16,6
ATH,Athletic Bilbao,01/01/1903,Gaizka Garitano,San Mames Stadium,227.3,4231,30,32,32,11,11,8
VIL,Villarreal CF,10/03/1923,Javier Calleja,Estadio de la Ceramica,224.8,442,11,14,12,4,4,3
CEL,Celta de Vigo,23/08/1923,Fran Escriba,Abanca0Balaidos,212.8,442,17,28,28,5,8,4
LEV,Levante UD,09/09/1909,Paco Lopez,Estadi Ciutat de València,109.9,352,15,26,30,5,5,5
VLD,Real Valladolid CF,20/06/1928,Sergio Gonzalez,Estadio Jose Zorrilla,82.2,442,21,21,22,9,7,5
GIR,Girona FC,23/07/1930,Juan Carlos Unzue,Estadi Montilivi,68.95,3421,13,14,14,4,5,4
RAY,Rayo Vallecano,29/05/1924,Paco Jemez,Campo de Fútbol de Vallecas,50.9,4141,14,15,26,2,5,7
HUE,SD Huesca,29/03/1960,Francisco Javier Rodriguez Vilchez,Estadio El Alcoraz,13.8,4231,8,5,10,0,4,4